quality_snr,quality_entropy,ppg_HR,ppg_LF,ppg_HF,ppg_LF_HF_Ratio,ppg_LF_norm,ppg_HF_norm,ppg_VLF,ppg_TP,ppg_pNN50,ppg_NN50,ppg_RMSSD,ppg_SDNN,ppg_TINN,ppg_SD1,ppg_RSA,ppg_Pulse_Time,ppg_Crest_Time,ppg_MS_Time,ppg_IPR,ppg_t_b_c,ppg_Pulse_Wave_Amplitude,ppg_Max_Slope,ppg_MS_Amplitude,ppg_b_a,ppg_c_a,ppg_Outlier_Percent,ppg_Delta_T,ppg_t_sys,ppg_t_dia,ppg_t_ratio,ppg_t_p1_dia,ppg_t_p2_dia,ppg_t_b_d,ppg_AI,ppg_RI,ppg_RI_p1,ppg_RI_p2,ppg_ratio_p2_p1,ppg_d_a,ppg_e_a,ppg_AGI,ppg_A1,ppg_A2,ppg_IPA,ppg_IPAD
-21.582144049605457,5.316065715139192,80.20715581934381,1521.0776384790347,1985.3032745702315,0.7661689062636086,43.38027374088843,56.619726259111566,1259.109045141711,4765.489958190977,28.86297376093295,99.0,61.21256688263852,67.68060610172516,156.25,43.28381872162661,7.593526964609939,0.4616612797289823,0.22872087596792035,0.10727495851769911,138.128658198138,0.15187491357853983,2247.8657615561665,0.3067147853220296,1915.2937573865042,-0.9137231021957415,0.5265385480178655,6.267029972752043,,,,,,,,,,,,,,,,,,,
-20.700360318501012,5.359302983279155,81.82265292746126,2069.134150211837,2069.840979137189,0.9996585105172443,49.991461304993834,50.008538695006166,1385.5786551546526,5524.553784503679,28.40909090909091,100.0,65.94447165013355,69.37004212248331,164.0625,46.629765296271074,7.635227061635623,0.46456383014547414,0.23107278758081898,0.10724087419181035,137.7952388773829,0.14208773908943967,2077.4313155819154,0.30181711999915,1774.8584298065907,-0.9268110619331563,0.5274986572803966,6.36604774535809,0.1201171875,0.400146484375,0.280029296875,1.4289450741063645,0.0,-0.159912109375,0.2001953125,0.21888253949064576,0.9979533490168545,2.62067564869816,1.6641360118622537,1.5747965490906537,-1.838713648192432,0.1814552136205587,1.6959258775574593,324.1113812736014,232.13183218520402,0.7162100611001004,-1.1225035870923317
-25.46803235826051,5.368073515011423,92.74207738162742,994.7472156501901,839.2566943945553,1.1852717080413717,54.239100047824905,45.7608999521751,254.40352973096023,2088.407439775706,17.073170731707318,70.0,43.35285694727767,51.546584950915836,148.4375,30.655013327111103,6.732516612467658,0.4577038334865196,0.22473862591911764,0.10433660768995098,139.97525106283337,0.14590035232843138,2283.740986021187,0.3116343514864791,1950.1040594955323,-0.9287888700752353,0.4902042424835659,5.080831408775981,,,,,,,,,,,,,,,,,,,
-22.933309261692763,5.40104996939354,152.06677735593414,106.55782551932822,142.63567464133948,0.7470629335001233,42.76107741599399,57.23892258400601,91.76755252479187,340.96105268545955,1.510989010989011,11.0,12.977721778906789,20.049343851233946,62.5,9.17663504828659,4.960293649492616,0.43412312422648514,0.21231290609529702,0.10100653620049505,146.70968789033964,0.14852693765470298,2097.4680000852204,0.3173384364543024,1847.138845813921,-0.9448305212395526,0.5510265392428154,1.6194331983805668,0.199951171875,0.360107421875,0.280029296875,1.2859633827375763,0.0,-0.159912109375,0.320068359375,0.16310213441831495,0.95438013011574,1.68117836381614,1.3059614512934576,1.2873108636943746,-0.7461819435981967,1.0714067399567808,-1.3306374003164259,453.5676024391248,420.53744955184663,0.9271770013782867,0.18099505778009006
-27.90700178173918,5.384385634983516,146.58752318096663,206.09075931033084,163.5168122606705,1.260364340895975,55.75934454869276,44.240655451307234,22.63708556187373,392.2446571328751,2.627737226277372,18.0,16.164536774280588,22.664060236935285,62.5,11.430013960597238,5.096915812333334,0.4508576766304348,0.22576638926630435,0.1047172214673913,143.2779486527093,0.14542713994565218,2041.5735527888057,0.3126606812599047,1746.850983979491,-0.981374445795606,0.5144255000310503,2.8328611898017,0.16015625,0.280029296875,0.320068359375,0.8749046529366895,0.0400390625,-0.119873046875,0.280029296875,0.10025369259714159,0.948044080442002,1.2511301165153002,1.1049414838038951,1.1323044114590874,-0.32926077767522516,0.38331410719949893,-0.5254711621570435,184.0872850905097,228.118283229077,1.2391854392166124,0.9099246615413872
-23.666911921942486,5.369807199215392,162.0603422672007,139.66646911006256,122.18822790455172,1.1430435771534726,53.33739310479799,46.662606895202,24.77965578985619,286.6343528044705,2.053915275994865,16.0,13.882415854128737,19.536235966156845,46.875,9.816293228796455,4.805562707437044,0.4595654700413223,0.22813024599690082,0.1054707676911157,139.95070592911168,0.1368862183626033,2036.5827610879383,0.3003725201420812,1721.3177538663351,-0.9211552060767307,0.5199357805299161,1.8867924528301887,0.2301025390625,0.39007568359375,0.330078125,1.2737642473608566,0.1900634765625,6.103515625e-05,0.32000732421875,-0.015606367971086952,0.8372254746235246,1.3105145521139303,1.3751460925233296,0.9685725295038691,-0.5024816381296426,0.7012913146827902,-1.1160966500717526,394.1712448467822,282.534180413415,0.9169009141085122,0.4144192759788695
-22.161167974300945,5.373960058294951,84.04646345733676,1360.7838102516948,1791.1840391122653,0.7597118891959965,43.1725155612323,56.82748443876769,987.0626573032342,4139.0305066671945,21.62162162162162,80.0,54.14303749678379,62.99327289049618,164.0625,38.284888951524806,7.490632154521455,0.46894570002480157,0.22383045014880953,0.10475957961309523,137.12637792673019,0.1482824900793651,2150.266128500629,0.3073904890479947,1841.1525835514665,-0.871919119944301,0.44789533499030043,5.357142857142857,0.2601318359375,0.5401611328125,0.300048828125,1.8395678841164926,0.1800537109375,0.0201416015625,0.300048828125,0.135068662132815,0.5897381670780595,1.649657469242476,1.1625130726082982,1.3591007275914264,-1.6120058947498102,1.1618478020066336,-0.46279256227179755,709.6348660724399,244.79939257392527,0.4137383536669779,-1.1982675410828323
-25.51370975628615,5.329085080061287,91.67270519734963,1126.5948839472394,749.6739026014191,1.5027799154243986,60.04442924297524,39.95557075702476,296.4375174007824,2172.7063039494406,17.233009708737864,71.0,40.85921100376607,51.59159470686262,132.8125,28.891824146721188,6.619638315447495,0.4295375890899123,0.20916640967653508,0.10844341077302631,147.75823351387024,0.1536443929756637,4171.659621111746,0.31805523312266676,3427.6150544491343,-1.1822069963548387,0.7834828601742778,4.618937644341801,0.17325846354166666,0.3334147135416667,0.306640625,1.1166293443616506,0.026692708333333332,-0.16007486979166666,0.280029296875,0.0876281281169935,0.8813931172398947,1.477692159148978,1.297849759999803,1.1448264320987915,-0.41565721659736576,0.5558031009558987,-0.9717498371087653,1037.4563415996388,764.437800140754,0.9317530393458093,0.5160958227484436
-24.875209417954245,5.444450931749641,161.88276741670194,109.44812560048152,114.90200834571172,0.9525344872230534,48.78451538020071,51.2154846197993,35.11748985794356,259.4676238041368,0.902061855670103,7.0,10.905204914398912,18.00860379139285,54.6875,7.711143859485747,4.744079663776902,0.4037899728548729,0.19935737221927965,0.1034183825476695,156.26487203031502,0.15799001920021186,5468.9017551683655,0.33109681597535373,4243.431955808193,-1.1905394296117588,0.8444849752646822,1.6455696202531647,0.239990234375,0.5,0.320068359375,1.7165616580092196,0.280029296875,0.1800537109375,0.2200927734375,0.06692204423097148,0.6039584901632238,0.9253439258252729,0.846127827963507,1.1133415209395887,-0.5899575156028847,0.42778093673252104,-0.04179850905272252,1092.6665374613183,749.0252251210023,0.5504880912980263,-0.03946942430485828
-26.949003168198495,5.388464445941903,158.39869887256404,79.07371802789173,138.79329295956012,0.5697229047727203,36.29448885790516,63.70551114209483,48.8706563515303,266.73766733898213,0.6631299734748011,5.0,11.648689628151642,17.55899523916954,46.875,8.236823438615186,4.932985725288175,0.3983025801809211,0.19862767269736842,0.10563793516995613,157.64908727333375,0.15791829427083334,4271.86206236275,0.3296237588986354,3315.3677336173864,-1.2665823706908772,0.9389755141167445,2.075226977950713,,,,,,,,,,,,,,,,,,,
-22.626454079955536,5.374716046350582,135.11696795026353,226.7727617907187,226.36986502089076,1.0017798162745326,50.044455845244876,49.95554415475511,177.1082320629718,630.2508588745812,2.3041474654377883,15.0,16.804591792535508,25.739008288120946,85.9375,11.882628716266861,5.422170232438366,0.4261527683423913,0.2072930819746377,0.10959791100543478,148.07433149712455,0.16551495980525363,7164.47429595888,0.31522686432278846,5746.627581976423,-1.1948882230394624,0.8681280523436643,1.5105740181268883,0.22021484375,0.400146484375,0.280029296875,1.4796382126974743,0.0400390625,-0.099853515625,0.26025390625,0.13591947470513194,0.9112361682787824,1.5853022653244269,1.282152684675519,1.237482274330709,-1.187404202064622,2.0637929070184486,-3.0345840132912003,2145.631512850805,1567.1059234861902,0.7284823364253434,-0.4589218656392786
-21.12787559236752,5.273627240605873,80.51796925297444,1567.3296851220418,1492.8935466975513,1.0498603122701895,51.21618804880831,48.783811951191694,853.224842378626,3913.4480741982193,21.776504297994272,76.0,58.78284778239917,63.21715158701156,156.25,41.565706327572485,7.308471493387968,0.408361328125,0.202904296875,0.108814453125,153.87804492261537,0.16769921875,7053.6634805182475,0.32371617699814287,5500.624376457804,-1.2753515111378777,0.9391060214050375,6.166219839142091,0.280029296875,0.60009765625,0.239990234375,2.500508646998983,0.320068359375,0.199951171875,0.280029296875,0.09825474136810945,0.3259741909904798,0.7051051316934381,0.5815146942390587,1.2125319251237558,-1.614323755753905,0.9940970553114015,-0.20987819223863763,3385.1370618426854,489.41405251042414,0.14457732244496288,-1.469746433308942
